datetime,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz SW q25,Konstanz SW q75,Konstanz SW direction,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-c00 direction,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p01 direction,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p02 direction,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p03 direction,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GEFS-p04 direction,Konstanz GFS mean,Konstanz GFS max,Konstanz GFS direction,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-EU direction,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz ICON-D2 direction,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz MOSMIX direction,Konstanz mean,Konstanz max,Konstanz min,Konstanz 3s max,Konstanz direction
2025-03-31 06:00,2.53,4.02,1.36,2.76,3.33,1.82,295.29,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.20,5.10,2.00,3.70,310.00
2025-03-31 06:10,2.55,4.04,1.37,2.78,3.35,1.88,295.64,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.00,4.50,1.90,3.20,300.00
2025-03-31 06:20,2.56,4.05,1.37,2.79,3.42,1.92,295.65,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.70,5.40,2.50,3.70,310.00
2025-03-31 06:30,2.57,4.07,1.38,2.80,3.42,1.85,295.52,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,4.30,6.70,2.60,4.30,310.00
2025-03-31 06:40,2.57,4.08,1.38,2.81,3.43,1.81,295.29,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.80,5.70,2.50,4.30,310.00
2025-03-31 06:50,2.58,4.08,1.38,2.81,3.47,1.83,294.96,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,2.90,4.80,1.30,3.80,300.00
2025-03-31 07:00,2.58,4.08,1.37,2.81,3.40,1.85,294.57,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,1.90,3.40,0.90,2.80,280.00
2025-03-31 07:10,2.57,4.08,1.37,2.81,3.45,1.80,294.12,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,1.90,2.90,1.20,2.00,290.00
2025-03-31 07:20,2.57,4.08,1.36,2.80,3.42,1.86,293.78,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,2.40,3.30,1.10,2.40,290.00
2025-03-31 07:30,2.56,4.07,1.36,2.80,3.42,1.83,293.45,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.30,4.80,2.30,3.30,310.00
2025-03-31 07:40,2.55,4.06,1.35,2.79,3.44,1.82,293.16,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,2.90,3.90,2.30,3.30,310.00
2025-03-31 07:50,2.54,4.04,1.34,2.78,3.42,1.79,292.91,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.50,5.00,2.60,3.50,310.00
2025-03-31 08:00,2.53,4.02,1.34,2.77,3.41,1.83,292.73,1.59,2.70,274.27,1.60,2.92,273.14,1.72,3.24,280.59,1.68,2.65,277.98,1.61,2.35,268.91,1.26,1.65,263.50,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,3.40,5.40,2.20,3.60,310.00
2025-03-31 08:10,2.52,4.01,1.33,2.76,3.40,1.86,292.68,1.64,2.77,276.60,1.67,3.00,275.91,1.77,3.29,283.19,1.73,2.75,280.23,1.66,2.44,271.37,1.34,2.07,265.98,2.47,5.12,321.06,3.75,0.00,333.40,3.09,5.66,280.00,2.80,3.80,1.60,3.40,290.00
