step,Konstanz SW mean,Konstanz SW max,Konstanz SW min,Konstanz SW 3s max,Konstanz GEFS-c00 mean,Konstanz GEFS-c00 max,Konstanz GEFS-p01 mean,Konstanz GEFS-p01 max,Konstanz GEFS-p02 mean,Konstanz GEFS-p02 max,Konstanz GEFS-p03 mean,Konstanz GEFS-p03 max,Konstanz GEFS-p04 mean,Konstanz GEFS-p04 max,Konstanz GFS mean,Konstanz GFS max,Konstanz ICON-EU mean,Konstanz ICON-EU max,Konstanz ICON-D2 mean,Konstanz ICON-D2 max,Konstanz MOSMIX mean,Konstanz MOSMIX max,Konstanz SW mean se,Konstanz SW max se,Konstanz SW min se,Konstanz SW 3s max se
0,1.23,3.30,0.44,1.31,1.59,6.00,1.73,6.32,1.68,6.27,1.60,6.20,1.69,6.55,1.63,7.29,1.55,6.73,1.46,5.47,1.42,5.25,0.08,0.21,0.02,0.08
1,1.24,3.30,0.44,1.30,1.59,6.03,1.73,6.34,1.69,6.30,1.61,6.23,1.70,6.59,1.63,7.29,1.56,6.76,1.47,5.48,1.43,5.26,0.08,0.20,0.02,0.08
2,1.23,3.29,0.44,1.30,1.59,6.02,1.73,6.34,1.69,6.30,1.61,6.22,1.70,6.61,1.63,7.29,1.55,6.76,1.47,5.48,1.42,5.25,0.08,0.20,0.02,0.08
3,1.23,3.27,0.44,1.30,1.59,6.03,1.73,6.35,1.68,6.29,1.60,6.23,1.70,6.62,1.62,7.29,1.55,6.76,1.46,5.48,1.42,5.24,0.08,0.20,0.02,0.08
4,1.23,3.30,0.44,1.30,1.59,6.06,1.73,6.36,1.70,6.31,1.61,6.26,1.72,6.66,1.63,7.32,1.56,6.78,1.47,5.49,1.42,5.25,0.08,0.20,0.02,0.08
5,1.23,3.30,0.44,1.31,1.59,6.06,1.72,6.37,1.69,6.31,1.61,6.27,1.72,6.68,1.62,7.32,1.56,6.76,1.46,5.47,1.42,5.24,0.08,0.20,0.02,0.08
6,1.25,3.34,0.44,1.32,1.59,6.08,1.73,6.39,1.70,6.32,1.61,6.30,1.72,6.71,1.62,7.35,1.56,6.78,1.46,5.48,1.42,5.25,0.08,0.20,0.02,0.08
7,1.24,3.32,0.44,1.31,1.58,6.08,1.72,6.40,1.69,6.32,1.61,6.30,1.72,6.70,1.62,7.34,1.55,6.75,1.45,5.46,1.41,5.24,0.08,0.20,0.02,0.08
8,1.23,3.30,0.44,1.31,1.58,6.09,1.72,6.40,1.69,6.30,1.61,6.30,1.73,6.72,1.62,7.32,1.56,6.76,1.46,5.45,1.41,5.24,0.08,0.20,0.02,0.08
9,1.24,3.31,0.44,1.31,1.59,6.11,1.72,6.42,1.70,6.31,1.62,6.33,1.73,6.75,1.62,7.32,1.56,6.77,1.46,5.45,1.41,5.24,0.08,0.20,0.02,0.08
10,1.24,3.32,0.44,1.31,1.59,6.12,1.72,6.43,1.69,6.31,1.62,6.35,1.73,6.77,1.62,7.32,1.56,6.78,1.46,5.44,1.41,5.26,0.08,0.20,0.02,0.08
11,1.24,3.31,0.44,1.32,1.58,6.12,1.71,6.41,1.69,6.29,1.62,6.35,1.73,6.77,1.62,7.31,1.55,6.78,1.46,5.41,1.41,5.23,0.08,0.20,0.02,0.08
12,1.24,3.33,0.44,1.32,1.58,6.12,1.70,6.40,1.68,6.28,1.62,6.36,1.73,6.78,1.61,7.27,1.55,6.79,1.46,5.40,1.40,5.23,0.08,0.20,0.02,0.08
13,1.23,3.32,0.44,1.31,1.57,6.11,1.70,6.39,1.68,6.27,1.62,6.36,1.73,6.80,1.60,7.26,1.55,6.78,1.46,5.40,1.40,5.24,0.08,0.20,0.02,0.08
14,1.23,3.28,0.44,1.30,1.57,6.11,1.69,6.38,1.67,6.26,1.62,6.36,1.73,6.81,1.60,7.25,1.55,6.78,1.46,5.38,1.39,5.21,0.08,0.20,0.02,0.08
15,1.23,3.28,0.44,1.30,1.57,6.11,1.68,6.38,1.66,6.25,1.62,6.36,1.73,6.81,1.60,7.25,1.55,6.77,1.46,5.37,1.39,5.21,0.08,0.20,0.02,0.08
16,1.23,3.28,0.43,1.30,1.56,6.10,1.68,6.35,1.66,6.23,1.62,6.37,1.73,6.81,1.60,7.24,1.55,6.76,1.45,5.35,1.38,5.20,0.08,0.20,0.02,0.08
17,1.23,3.31,0.44,1.30,1.56,6.12,1.67,6.36,1.65,6.23,1.63,6.40,1.73,6.84,1.60,7.26,1.55,6.77,1.45,5.34,1.38,5.20,0.08,0.20,0.02,0.08
18,1.24,3.32,0.44,1.31,1.57,6.13,1.68,6.37,1.65,6.23,1.63,6.40,1.74,6.86,1.60,7.28,1.56,6.78,1.45,5.35,1.38,5.20,0.08,0.20,0.02,0.08
